Year,First TS,30-y first,Last TS,30-y last
2004,Mar 27,Apr 21,Sep 20,Sep 30
2005,Apr 18,Apr 21,Sep 17,Sep 30
2006,Apr 11,Apr 20,Aug 26,Sep 29
2007,May 17,Apr 20,Nov 8,Sep 28
2008,Apr 22,Apr 21,Sep 23,Sep 30
2009,May 13,Apr 21,Sep 27,Oct 1
2010,Apr 2,Apr 22,Sep 10,Oct 1
2011,May 30,Apr 22,Oct 22,Oct 1
2012,Mar 19,Apr 23,Aug 24,Oct 1
2013,Jun 10,Apr 22,Oct 11,Sep 28
2014,May 19,Apr 24,Sep 8,Sep 28
2015,Jun 7,Apr 25,Oct 11,Sep 27
2016,May 22,Apr 26,Sep 24,Sep 27
2017,Apr 14,Apr 27,Oct 21,Sep 27
2018,May 15,Apr 27,Sep 13,Sep 28
2019,Apr 15,Apr 27,Sep 21,Sep 27
2020,Apr 26,Apr 27,Oct 6,Sep 26
2021,May 14,Apr 30,Sep 10,Sep 27
2022,Apr 23,May 1,Oct 24,Sep 26
2023,May 10,Apr 29,Oct 3,Sep 28
2024,May 10,Apr 30,Sep 21,Sep 29
2025,May 15,Apr 30,Oct 16,Sep 28
2026,Apr 22,Apr 29,-,Sep 28
2027,-,Apr 28,-,-
