DOY,TS Days,Cumulative,Cumulative%
261,16,3458,0.946619217
262,11,3469,0.949630441
263,14,3483,0.953462907
264,10,3493,0.956200383
265,11,3504,0.959211607
266,10,3514,0.961949083
267,11,3525,0.964960307
268,9,3534,0.967424035
269,9,3543,0.969887763
270,7,3550,0.971803997
271,4,3554,0.972898987
272,8,3562,0.975088968
273,2,3564,0.975636463
274,3,3567,0.976457706
275,5,3572,0.977826444
276,2,3574,0.978373939
277,8,3582,0.98056392
278,4,3586,0.98165891
279,4,3590,0.982753901
280,4,3594,0.983848891
281,5,3599,0.985217629
282,4,3603,0.98631262
283,4,3607,0.98740761
284,5,3612,0.988776348
285,8,3620,0.990966329
286,4,3624,0.992061319
287,1,3625,0.992335067
288,2,3627,0.992882562
289,1,3628,0.99315631
290,5,3633,0.994525048
291,0,3633,0.994525048
292,3,3636,0.995346291
293,0,3636,0.995346291
294,0,3636,0.995346291
295,1,3637,0.995620038
296,1,3638,0.995893786
297,1,3639,0.996167534
298,1,3640,0.996441281
299,0,3640,0.996441281
300,1,3641,0.996715029
301,3,3644,0.997536272
302,2,3646,0.998083767
303,0,3646,0.998083767
304,1,3647,0.998357514
305,0,3647,0.998357514
306,1,3648,0.998631262
307,0,3648,0.998631262
308,0,3648,0.998631262
309,0,3648,0.998631262
310,1,3649,0.99890501
311,0,3649,0.99890501
312,1,3650,0.999178757
313,1,3651,0.999452505
314,0,3651,0.999452505
315,0,3651,0.999452505
316,0,3651,0.999452505
317,0,3651,0.999452505
318,0,3651,0.999452505
319,0,3651,0.999452505
320,0,3651,0.999452505
321,0,3651,0.999452505
322,0,3651,0.999452505
323,0,3651,0.999452505
324,0,3651,0.999452505
325,0,3651,0.999452505
326,0,3651,0.999452505
327,0,3651,0.999452505
328,0,3651,0.999452505
329,0,3651,0.999452505
330,0,3651,0.999452505
331,0,3651,0.999452505
332,0,3651,0.999452505
333,0,3651,0.999452505
334,0,3651,0.999452505
335,0,3651,0.999452505
336,0,3651,0.999452505
337,1,3652,0.999726252
338,0,3652,0.999726252
339,0,3652,0.999726252
340,1,3653,1
341,0,3653,1
